Class,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Other1,Unknown
,"6,82,27,240","1,53,450","1,15,520","29,41,190","98,510","1,24,82,520","7,36,410","2,44,070","46,090","4,60,180","98,70,370","9,33,750","4,78,390","14,95,920","57,330","14,44,160","2,49,720","82,710","1,19,090","1,21,970","3,19,100","95,150","3,82,660","12,03,490","14,05,630","2,83,380","57,800","1,75,780","49,350","2,85,540","23,87,430","63,920","12,76,960","6,19,580","71,72,240","5,33,760","36,740","3,47,510","1,43,230","2,41,830","6,05,150","1,25,870","61,690","1,94,240","21,090","4,23,410","84,73,460","2,49,190","55,200","5,14,310","14,62,060","23,550","1,78,150","25,130","1,95,640","64,06,700"
P1,"1,13,820",140,80,"4,270",290,"21,670","2,530",350,70,740,"12,490","2,460",50,120,640,"3,230",750,160,320,200,430,170,520,"1,300","2,260","1,310",50,620,50,280,"3,450",70,"2,160","2,140","8,580","1,600",20,"1,030","1,570","1,480","2,140",260,80,400,70,"1,020","19,410",780,50,980,"3,150",60,410,20,30,"5,330"
P2,"13,730",20,10,270,0,"1,260",240,70,10,80,670,140,0,40,60,320,90,170,0,90,60,50,90,140,"2,520",140,30,80,90,20,210,80,160,20,"2,530",140,100,420,30,170,350,10,60,20,30,430,350,70,100,70,680,80,140,20,0,770
P3,"15,660",10,10,350,30,"2,790",220,120,10,150,"1,130",860,0,10,0,"1,150",90,10,30,20,100,30,180,300,130,70,10,80,10,60,430,10,740,10,"2,050",230,0,140,70,70,210,0,20,40,0,120,"2,610",10,30,240,410,10,40,0,0,230
P4,"5,490",20,0,220,0,680,100,50,0,20,"1,300",110,0,10,10,130,30,0,10,20,20,0,40,70,200,60,0,60,0,20,200,10,150,30,340,100,0,100,20,60,120,10,10,20,0,70,710,30,0,90,120,0,10,0,0,130
Q1,"3,320",0,0,0,0,30,30,0,0,0,"2,800",10,0,0,0,10,0,0,0,0,0,10,0,20,0,80,0,0,0,0,0,0,20,0,60,10,0,0,0,20,0,0,0,0,0,20,20,10,0,0,10,0,10,0,0,130
R1,"13,780",50,30,140,50,"1,970",190,110,50,110,900,240,50,170,50,480,140,30,80,70,80,160,160,310,560,130,40,110,30,60,40,20,520,50,"1,870",150,10,170,80,90,260,200,60,80,20,110,"1,960",470,70,180,430,30,140,10,30,230
R2,"5,520",30,10,50,20,720,50,30,20,20,450,100,10,50,10,180,70,20,30,30,20,0,100,90,180,60,0,20,10,30,20,0,290,20,560,80,0,100,60,40,90,30,0,60,20,70,"1,060",40,10,90,380,0,40,0,20,90
TD,"1,39,580",940,60,"10,820",320,"17,280","1,330",340,120,150,"4,030","2,060",0,200,130,"2,840",880,830,610,450,230,110,390,"1,460","9,500",690,150,580,160,580,750,170,"1,440","1,840","4,180","1,310",270,"1,470",510,420,"1,420",70,90,450,170,"1,170","54,300",560,230,730,"6,230",70,610,50,0,"3,870"
TN,"12,04,910","4,120","1,380","29,320","1,540","1,07,570","5,850","2,510",460,"1,470","14,960","9,540",10,770,590,"14,660","3,560","2,750","1,930","2,390","1,600","7,070","2,780","10,350","5,47,520","6,630",950,"3,720","1,020","2,520","4,030","1,000","7,070","4,950","71,880","6,590","2,520","7,960","2,020","2,190","7,690",520,510,"2,540",650,"5,390","1,86,650","1,820","4,310","3,520","39,100",480,"2,760",410,110,"48,710"
WB,"19,62,650","12,980","2,490","23,730","3,340","3,30,270","32,520","12,900","2,430","36,120","1,22,560","61,120","1,620","10,440","2,970","1,10,650","18,150","4,800","4,750","9,620","20,040","2,610","16,580","1,04,560","48,840","19,230","1,940","9,970","1,230","7,930","93,660","4,460","41,900","2,400","2,49,560","35,540","1,040","30,870","3,170","16,120","41,050","3,060","3,860","13,660",870,"25,420","1,53,130","11,790","1,320","24,460","54,850","1,390","14,960",660,280,"96,820"
WT,"1,53,60,400","28,920","43,750","96,380","10,330","24,12,050","1,24,680","65,580","10,220","1,16,540","25,74,760","1,96,120","63,270","8,36,040","11,590","3,19,410","40,400","10,440","9,880","17,260","68,330","27,520","81,110","3,48,160","1,14,050","49,750","6,320","23,390","18,350","63,720","4,70,590","22,200","3,53,650","11,810","33,50,070","97,210","5,450","56,250","11,750","55,040","1,36,840","27,930","15,590","37,550","4,170","68,150","4,82,210","55,810","24,240","1,13,810","3,75,880","5,040","33,720","7,800","25,840","17,23,500"
Other,70,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0
Unknown,"33,520",80,80,260,50,"3,870",330,110,50,70,"7,340",650,390,70,30,830,270,50,40,100,90,20,310,400,770,160,30,80,10,130,400,10,550,40,"2,150",410,20,230,70,120,460,140,50,110,10,240,"2,190",180,10,220,460,0,80,10,110,"8,590"
